"CVE_ID","CPE_Part","CPE_Vendor","CPE_Product"
"CVE-2017-0067","Application","Microsoft","Edge"
"CVE-2017-0068","Application","Microsoft","Edge"
"CVE-2017-0069","Application","Microsoft","Edge"
"CVE-2017-0070","Application","Microsoft","Edge"
"CVE-2017-0071","Application","Microsoft","Edge"
"CVE-2017-0072","Operating System","Microsoft","Windows_7"
"CVE-2017-0073","Operating System","Microsoft","Windows_10"
"CVE-2017-0074","Operating System","Microsoft","Windows_10"
"CVE-2017-0075","Operating System","Microsoft","Windows_10"
"CVE-2017-0076","Operating System","Microsoft","Windows_10"
"CVE-2017-0077","Operating System","Microsoft","Windows_10"
"CVE-2017-0078","Operating System","Microsoft","Windows_10"
"CVE-2017-0079","Operating System","Microsoft","Windows_10"
"CVE-2017-0080","Operating System","Microsoft","Windows_10"
"CVE-2017-0081","Operating System","Microsoft","Windows_10"
"CVE-2017-0082","Operating System","Microsoft","Windows_10"
"CVE-2017-0083","Operating System","Microsoft","Windows_7"
"CVE-2017-0084","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0085","Operating System","Microsoft","Windows_7"
"CVE-2017-0086","Operating System","Microsoft","Windows_7"
"CVE-2017-0087","Operating System","Microsoft","Windows_7"
"CVE-2017-0088","Operating System","Microsoft","Windows_7"
"CVE-2017-0089","Operating System","Microsoft","Windows_7"
"CVE-2017-0090","Operating System","Microsoft","Windows_7"
"CVE-2017-0091","Operating System","Microsoft","Windows_7"
"CVE-2017-0092","Operating System","Microsoft","Windows_7"
"CVE-2017-0093","Application","Microsoft","Edge"
"CVE-2017-0094","Application","Microsoft","Edge"
"CVE-2017-0095","Operating System","Microsoft","Windows_10"
"CVE-2017-0096","Operating System","Microsoft","Windows_10"
"CVE-2017-0097","Operating System","Microsoft","Windows_10"
"CVE-2017-0098","Operating System","Microsoft","Windows_10"
"CVE-2017-0099","Operating System","Microsoft","Windows_10"
"CVE-2017-0100","Operating System","Microsoft","Windows_10"
"CVE-2017-0101","Operating System","Microsoft","Windows_10"
"CVE-2017-0102","Operating System","Microsoft","Windows_10"
"CVE-2017-0103","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0104","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0105","Application","Microsoft","Word_for_mac"
"CVE-2017-0106","Application","Microsoft","Outlook"
"CVE-2017-0107","Application","Microsoft","Sharepoint_foundation"
"CVE-2017-0108","Application","Microsoft","Live_meeting"
"CVE-2017-0109","Operating System","Microsoft","Windows_10"
"CVE-2017-0110","Application","Microsoft","Exchange_server"
"CVE-2017-0111","Operating System","Microsoft","Windows_7"
"CVE-2017-0112","Operating System","Microsoft","Windows_7"
"CVE-2017-0113","Operating System","Microsoft","Windows_7"
"CVE-2017-0114","Operating System","Microsoft","Windows_7"
"CVE-2017-0115","Operating System","Microsoft","Windows_7"
"CVE-2017-0116","Operating System","Microsoft","Windows_7"
"CVE-2017-0117","Operating System","Microsoft","Windows_7"
"CVE-2017-0118","Operating System","Microsoft","Windows_10"
"CVE-2017-0119","Operating System","Microsoft","Windows_7"
"CVE-2017-0120","Operating System","Microsoft","Windows_7"
"CVE-2017-0121","Operating System","Microsoft","Windows_10"
"CVE-2017-0122","Operating System","Microsoft","Windows_7"
"CVE-2017-0123","Operating System","Microsoft","Windows_7"
"CVE-2017-0124","Operating System","Microsoft","Windows_7"
"CVE-2017-0125","Operating System","Microsoft","Windows_7"
"CVE-2017-0126","Operating System","Microsoft","Windows_7"
"CVE-2017-0127","Operating System","Microsoft","Windows_7"
"CVE-2017-0128","Operating System","Microsoft","Windows_7"
"CVE-2017-0129","Application","Microsoft","Lync_for_mac"
"CVE-2017-0130","Application","Microsoft","Internet_explorer"
"CVE-2017-0131","Application","Microsoft","Edge"
"CVE-2017-0132","Application","Microsoft","Edge"
"CVE-2017-0133","Application","Microsoft","Edge"
"CVE-2017-0134","Application","Microsoft","Edge"
"CVE-2017-0135","Application","Microsoft","Edge"
"CVE-2017-0136","Application","Microsoft","Edge"
"CVE-2017-0137","Application","Microsoft","Edge"
"CVE-2017-0138","Application","Microsoft","Edge"
"CVE-2017-0140","Application","Microsoft","Edge"
"CVE-2017-0141","Application","Microsoft","Edge"
"CVE-2017-0143","Application","Microsoft","Server_message_block"
"CVE-2017-0144","Application","Microsoft","Server_message_block"
"CVE-2017-0145","Application","Microsoft","Server_message_block"
"CVE-2017-0146","Application","Microsoft","Server_message_block"
"CVE-2017-0147","Application","Microsoft","Server_message_block"
"CVE-2017-0148","Application","Microsoft","Server_message_block"
"CVE-2017-0149","Application","Microsoft","Internet_explorer"
"CVE-2017-0150","Application","Microsoft","Edge"
"CVE-2017-0151","Application","Microsoft","Edge"
"CVE-2017-0152","Application","Microsoft","Edge"
"CVE-2017-0154","Application","Microsoft","Internet_explorer"
"CVE-2017-0155","Operating System","Microsoft","Windows_7"
"CVE-2017-0156","Operating System","Microsoft","Windows_10"
"CVE-2017-0158","Operating System","Microsoft","Windows_10"
"CVE-2017-0159","Operating System","Microsoft","Windows_10"
"CVE-2017-0160","Application","Microsoft",".net_framework"
"CVE-2017-0162","Operating System","Microsoft","Windows_10"
"CVE-2017-0163","Operating System","Microsoft","Windows_10"
"CVE-2017-0164","Operating System","Microsoft","Windows_10"
"CVE-2017-0165","Operating System","Microsoft","Windows_8.1 "
"CVE-2017-0166","Operating System","Microsoft","Windows_10"
"CVE-2017-0167","Operating System","Microsoft","Windows_10"
"CVE-2017-0168","Operating System","Microsoft","Windows_8.1 "
"CVE-2017-0169","Operating System","Microsoft","Windows_8.1 "
"CVE-2017-0170","Operating System","Microsoft","Windows_10"
"CVE-2017-0171","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0173","Operating System","Microsoft","Windows_10"
"CVE-2017-0175","Operating System","Microsoft","Windows_server_2008"
"CVE-2017-0176","Operating System","Microsoft","Windows_xp "
"CVE-2017-0178","Operating System","Microsoft","Windows_10"
"CVE-2017-0179","Operating System","Microsoft","Windows_10"
"CVE-2017-0180","Operating System","Microsoft","Windows_10"
"CVE-2017-0181","Operating System","Microsoft","Windows_10"
"CVE-2017-0182","Operating System","Microsoft","Windows_10"
"CVE-2017-0183","Operating System","Microsoft","Windows_10"
"CVE-2017-0184","Operating System","Microsoft","Windows_10"
"CVE-2017-0185","Operating System","Microsoft","Windows_10"
"CVE-2017-0186","Operating System","Microsoft","Windows_10"
"CVE-2017-0188","Operating System","Microsoft","Windows_10"
"CVE-2017-0189","Operating System","Microsoft","Windows_10"
"CVE-2017-0190","Operating System","Microsoft","Windows_10"
"CVE-2017-0191","Operating System","Microsoft","Windows_10"
"CVE-2017-0192","Operating System","Microsoft","Windows_10"
"CVE-2017-0193","Operating System","Microsoft","Windows_10"
"CVE-2017-0194","Application","Microsoft","Excel"
"CVE-2017-0195","Application","Microsoft","Office_online_server "
"CVE-2017-0196","Application","Microsoft","Edge"
"CVE-2017-0197","Application","Microsoft","Onenote"
"CVE-2017-0199","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0200","Application","Microsoft","Edge"
"CVE-2017-0201","Application","Microsoft","Internet_explorer"
"CVE-2017-0202","Application","Microsoft","Internet_explorer"
"CVE-2017-0203","Application","Microsoft","Edge"
"CVE-2017-0204","Application","Microsoft","Outlook"
"CVE-2017-0205","Application","Microsoft","Edge"
"CVE-2017-0207","Application","Microsoft","Outlook"
"CVE-2017-0208","Application","Microsoft","Edge"
"CVE-2017-0210","Application","Microsoft","Internet_explorer"
"CVE-2017-0211","Operating System","Microsoft","Windows_10"
"CVE-2017-0212","Operating System","Microsoft","Windows_10"
"CVE-2017-0213","Operating System","Microsoft","Windows_10"
"CVE-2017-0214","Operating System","Microsoft","Windows_10"
"CVE-2017-0215","Operating System","Microsoft","Windows_10"
"CVE-2017-0216","Operating System","Microsoft","Windows_10"
"CVE-2017-0218","Operating System","Microsoft","Windows_10"
"CVE-2017-0219","Operating System","Microsoft","Windows_10"
"CVE-2017-0220","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0221","Application","Microsoft","Edge"
"CVE-2017-0222","Application","Microsoft","Internet_explorer"
"CVE-2017-0223","Application","Microsoft","Edge"
"CVE-2017-0224","Application","Microsoft","Edge"
"CVE-2017-0226","Application","Microsoft","Internet_explorer"
"CVE-2017-0227","Application","Microsoft","Edge"
"CVE-2017-0228","Application","Microsoft","Internet_explorer"
"CVE-2017-0229","Application","Microsoft","Edge"
"CVE-2017-0230","Application","Microsoft","Edge"
"CVE-2017-0231","Application","Microsoft","Internet_explorer"
"CVE-2017-0233","Application","Microsoft","Edge"
"CVE-2017-0234","Application","Microsoft","Edge"
"CVE-2017-0235","Application","Microsoft","Edge"
"CVE-2017-0236","Application","Microsoft","Edge"
"CVE-2017-0238","Application","Microsoft","Internet_explorer"
"CVE-2017-0240","Application","Microsoft","Edge"
"CVE-2017-0241","Application","Microsoft","Edge"
"CVE-2017-0242","Operating System","Microsoft","Windows_server_2008"
"CVE-2017-0243","Application","Microsoft","Office"
"CVE-2017-0244","Operating System","Microsoft","Windows_server_2008"
"CVE-2017-0245","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0246","Operating System","Microsoft","Windows_10"
"CVE-2017-0247","Application","Microsoft","Asp.net"
"CVE-2017-0248","Application","Microsoft",".net_framework"
"CVE-2017-0249","Application","Microsoft","Asp.net"
"CVE-2017-0252","Application","Microsoft","Edge"
"CVE-2017-0254","Application","Microsoft","Office_web_apps"
"CVE-2017-0255","Application","Microsoft","Sharepoint_foundation"
"CVE-2017-0256","Application","Microsoft","Asp.net"
"CVE-2017-0258","Operating System","Microsoft","Windows_10"
"CVE-2017-0259","Operating System","Microsoft","Windows_10"
"CVE-2017-0260","Operating System","Microsoft","Windows_7"
"CVE-2017-0261","Application","Microsoft","Office"
"CVE-2017-0262","Application","Microsoft","Office"
"CVE-2017-0263","Operating System","Microsoft","Windows_10"
"CVE-2017-0264","Application","Microsoft","Powerpoint_for_mac"
"CVE-2017-0265","Application","Microsoft","Powerpoint_for_mac"
"CVE-2017-0266","Application","Microsoft","Edge"
"CVE-2017-0267","Operating System","Microsoft","Windows_10"
"CVE-2017-0268","Operating System","Microsoft","Windows_10"
"CVE-2017-0269","Operating System","Microsoft","Windows_10"
"CVE-2017-0270","Operating System","Microsoft","Windows_10"
"CVE-2017-0271","Operating System","Microsoft","Windows_10"
"CVE-2017-0272","Operating System","Microsoft","Windows_10"
"CVE-2017-0273","Operating System","Microsoft","Windows_10"
"CVE-2017-0274","Operating System","Microsoft","Windows_10"
"CVE-2017-0275","Operating System","Microsoft","Windows_10"
"CVE-2017-0276","Operating System","Microsoft","Windows_10"
"CVE-2017-0277","Operating System","Microsoft","Windows_10"
"CVE-2017-0278","Operating System","Microsoft","Windows_10"
"CVE-2017-0279","Operating System","Microsoft","Windows_10"
"CVE-2017-0280","Operating System","Microsoft","Windows_10"
"CVE-2017-0281","Application","Microsoft","Office_web_apps"
"CVE-2017-0282","Operating System","Microsoft","Windows_10"
"CVE-2017-0283","Application","Microsoft","Silverlight"
"CVE-2017-0284","Operating System","Microsoft","Windows_10"
"CVE-2017-0285","Operating System","Microsoft","Windows_10"
"CVE-2017-0286","Operating System","Microsoft","Windows_10"
"CVE-2017-0287","Operating System","Microsoft","Windows_10"
"CVE-2017-0288","Operating System","Microsoft","Windows_10"
"CVE-2017-0289","Operating System","Microsoft","Windows_10"
"CVE-2017-0290","Application","Microsoft","Malware_protection_engine"
"CVE-2017-0291","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0292","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0294","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0295","Operating System","Microsoft","Windows_10"
"CVE-2017-0296","Operating System","Microsoft","Windows_10"
"CVE-2017-0297","Operating System","Microsoft","Windows_10"
"CVE-2017-0298","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0299","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0300","Operating System","Microsoft","Windows_server_2012"
"CVE-2017-0302","Application","F5","Big-ip_access_policy_manager"
"CVE-2017-0305","Application","F5","Ssl_intercept_iapp"
"CVE-2017-0306","Operating System","Linux","Linux_kernel"
"CVE-2017-0307","Operating System","Linux","Linux_kernel"
"CVE-2017-0308","Application","Nvidia","Gpu_driver"
"CVE-2017-0309","Application","Nvidia","Gpu_driver"
"CVE-2017-0310","Application","Nvidia","Gpu_driver"
"CVE-2017-0311","Application","Nvidia","Gpu_driver"
"CVE-2017-0312","Application","Nvidia","Gpu_driver"
"CVE-2017-0313","Application","Nvidia","Gpu_driver"
"CVE-2017-0314","Application","Nvidia","Gpu_driver"
"CVE-2017-0315","Application","Nvidia","Gpu_driver"
"CVE-2017-0317","Application","Nvidia","Gpu_driver"
"CVE-2017-0318","Application","Nvidia","Gpu_driver"
"CVE-2017-0319","Application","Nvidia","Gpu_driver"
"CVE-2017-0320","Application","Nvidia","Gpu_driver"
"CVE-2017-0321","Application","Nvidia","Gpu_driver"
"CVE-2017-0322","Application","Nvidia","Gpu_driver"
"CVE-2017-0323","Application","Nvidia","Gpu_driver"
"CVE-2017-0324","Application","Nvidia","Gpu_driver"
"CVE-2017-0325","Operating System","Linux","Linux_kernel"
"CVE-2017-0326",NA,NA,NA
"CVE-2017-0327","Operating System","Linux","Linux_kernel"
"CVE-2017-0328","Operating System","Linux","Linux_kernel"
"CVE-2017-0329","Operating System","Linux","Linux_kernel"
"CVE-2017-0330","Operating System","Linux","Linux_kernel"
"CVE-2017-0331","Operating System","Google","Android"
"CVE-2017-0332","Operating System","Linux","Linux_kernel"
"CVE-2017-0333","Operating System","Linux","Linux_kernel"
"CVE-2017-0334","Operating System","Linux","Linux_kernel"
"CVE-2017-0335","Operating System","Linux","Linux_kernel"
"CVE-2017-0336","Operating System","Linux","Linux_kernel"
"CVE-2017-0337","Operating System","Linux","Linux_kernel"
"CVE-2017-0338","Operating System","Linux","Linux_kernel"
"CVE-2017-0339","Operating System","Linux","Linux_kernel"
"CVE-2017-0340","Operating System","Google","Android"
"CVE-2017-0341","Application","Nvidia","Gpu_driver"
"CVE-2017-0342","Application","Nvidia","Gpu_driver"
"CVE-2017-0343","Application","Nvidia","Gpu_driver"
"CVE-2017-0344","Application","Nvidia","Gpu_driver"
"CVE-2017-0345","Application","Nvidia","Gpu_driver"
"CVE-2017-0346","Application","Nvidia","Gpu_driver"
"CVE-2017-0347","Application","Nvidia","Gpu_driver"
"CVE-2017-0348","Application","Nvidia","Gpu_driver"
"CVE-2017-0349","Application","Nvidia","Gpu_driver"
"CVE-2017-0350","Application","Nvidia","Gpu_driver"
"CVE-2017-0351","Application","Nvidia","Gpu_driver"
"CVE-2017-0352","Application","Nvidia","Gpu_driver"
"CVE-2017-0353","Application","Nvidia","Gpu_driver"
"CVE-2017-0354","Application","Nvidia","Gpu_driver"
"CVE-2017-0355","Application","Nvidia","Gpu_driver"
"CVE-2017-0360","Application","Tryton","Tryton"
"CVE-2017-0373","Application","Config-model_project","Config-model"
"CVE-2017-0374","Application","Config-model_project","Config-model"
"CVE-2017-0375","Application","Torproject","Tor"
"CVE-2017-0376","Application","Torproject","Tor"
"CVE-2017-0377","Application","Torproject","Tor"
"CVE-2017-0378",NA,NA,NA
"CVE-2017-0381","Operating System","Google","Android"
"CVE-2017-0382","Operating System","Google","Android"
"CVE-2017-0383","Operating System","Google","Android"
"CVE-2017-0384","Operating System","Google","Android"
"CVE-2017-0385","Operating System","Google","Android"
"CVE-2017-0386","Operating System","Google","Android"
"CVE-2017-0387","Operating System","Google","Android"
"CVE-2017-0388","Operating System","Google","Android"
"CVE-2017-0389","Operating System","Google","Android"
"CVE-2017-0390","Operating System","Google","Android"
"CVE-2017-0391","Operating System","Google","Android"
"CVE-2017-0392","Operating System","Google","Android"
"CVE-2017-0393","Operating System","Google","Android"
"CVE-2017-0394","Operating System","Google","Android"
"CVE-2017-0395","Operating System","Google","Android"
"CVE-2017-0396","Operating System","Google","Android"
"CVE-2017-0397","Operating System","Google","Android"
"CVE-2017-0398","Operating System","Google","Android"
"CVE-2017-0399","Operating System","Google","Android"
"CVE-2017-0400","Operating System","Google","Android"
"CVE-2017-0401","Operating System","Google","Android"
"CVE-2017-0402","Operating System","Google","Android"
"CVE-2017-0403","Operating System","Linux","Linux_kernel"
"CVE-2017-0404","Operating System","Linux","Linux_kernel"
"CVE-2017-0405","Operating System","Google","Android"
"CVE-2017-0406","Operating System","Google","Android"
"CVE-2017-0407","Operating System","Google","Android"
"CVE-2017-0408","Operating System","Google","Android"
"CVE-2017-0409","Operating System","Google","Android"
"CVE-2017-0410","Operating System","Google","Android"
"CVE-2017-0411","Operating System","Google","Android"
"CVE-2017-0412","Operating System","Google","Android"
"CVE-2017-0413","Operating System","Google","Android"
"CVE-2017-0414","Operating System","Google","Android"
"CVE-2017-0415","Operating System","Google","Android"
"CVE-2017-0416","Operating System","Google","Android"
"CVE-2017-0417","Operating System","Google","Android"
"CVE-2017-0418","Operating System","Google","Android"
"CVE-2017-0419","Operating System","Google","Android"
"CVE-2017-0420","Operating System","Google","Android"
"CVE-2017-0421","Operating System","Google","Android"
"CVE-2017-0422","Operating System","Google","Android"
"CVE-2017-0423","Operating System","Google","Android"
"CVE-2017-0424","Operating System","Google","Android"
"CVE-2017-0425","Operating System","Google","Android"
"CVE-2017-0426","Operating System","Google","Android"
"CVE-2017-0427","Operating System","Google","Android"
"CVE-2017-0428","Operating System","Google","Android"
"CVE-2017-0429","Operating System","Google","Android"
"CVE-2017-0430","Operating System","Google","Android"
"CVE-2017-0432","Operating System","Linux","Linux_kernel"
"CVE-2017-0433","Operating System","Google","Android"
"CVE-2017-0434","Operating System","Google","Android"
"CVE-2017-0435","Operating System","Google","Android"
"CVE-2017-0436","Operating System","Google","Android"
"CVE-2017-0437","Operating System","Google","Android"
"CVE-2017-0438","Operating System","Google","Android"
"CVE-2017-0439","Operating System","Google","Android"
"CVE-2017-0440","Operating System","Google","Android"
"CVE-2017-0441","Operating System","Google","Android"
"CVE-2017-0442","Operating System","Google","Android"
"CVE-2017-0443","Operating System","Google","Android"
"CVE-2017-0444","Operating System","Google","Android"
"CVE-2017-0445","Operating System","Google","Android"
"CVE-2017-0446","Operating System","Google","Android"
"CVE-2017-0447","Operating System","Google","Android"
"CVE-2017-0448","Operating System","Google","Android"
"CVE-2017-0449","Operating System","Google","Android"
"CVE-2017-0450","Operating System","Google","Android"
"CVE-2017-0451","Operating System","Google","Android"
"CVE-2017-0452","Operating System","Linux","Linux_kernel"
"CVE-2017-0453","Operating System","Linux","Linux_kernel"
"CVE-2017-0454","Operating System","Linux","Linux_kernel"
"CVE-2017-0455","Operating System","Linux","Linux_kernel"
"CVE-2017-0456","Operating System","Linux","Linux_kernel"
"CVE-2017-0457","Operating System","Linux","Linux_kernel"
"CVE-2017-0458","Operating System","Linux","Linux_kernel"
"CVE-2017-0459","Operating System","Linux","Linux_kernel"
"CVE-2017-0460","Operating System","Linux","Linux_kernel"
"CVE-2017-0461","Operating System","Linux","Linux_kernel"
"CVE-2017-0462","Operating System","Linux","Linux_kernel"
"CVE-2017-0463","Operating System","Linux","Linux_kernel"
"CVE-2017-0464","Operating System","Linux","Linux_kernel"
"CVE-2017-0465","Operating System","Google","Android"
"CVE-2017-0466","Operating System","Google","Android"
"CVE-2017-0467","Operating System","Google","Android"
"CVE-2017-0468","Operating System","Google","Android"
"CVE-2017-0469","Operating System","Google","Android"
"CVE-2017-0470","Operating System","Google","Android"
"CVE-2017-0471","Operating System","Google","Android"
"CVE-2017-0472","Operating System","Google","Android"
"CVE-2017-0473","Operating System","Google","Android"
"CVE-2017-0474","Operating System","Google","Android"
"CVE-2017-0475","Operating System","Google","Android"
"CVE-2017-0476","Operating System","Google","Android"
"CVE-2017-0477","Operating System","Google","Android"
"CVE-2017-0478","Operating System","Google","Android"
"CVE-2017-0479","Operating System","Google","Android"
"CVE-2017-0480","Operating System","Google","Android"
"CVE-2017-0481","Operating System","Google","Android"
"CVE-2017-0482","Operating System","Google","Android"
"CVE-2017-0483","Operating System","Google","Android"
"CVE-2017-0484","Operating System","Google","Android"
"CVE-2017-0485","Operating System","Google","Android"
"CVE-2017-0486","Operating System","Google","Android"
"CVE-2017-0487","Operating System","Google","Android"
"CVE-2017-0488","Operating System","Google","Android"
"CVE-2017-0489","Operating System","Google","Android"
"CVE-2017-0490","Operating System","Google","Android"
"CVE-2017-0491","Operating System","Google","Android"
"CVE-2017-0492","Operating System","Google","Android"
"CVE-2017-0493","Operating System","Google","Android"
"CVE-2017-0494","Operating System","Google","Android"
"CVE-2017-0495","Operating System","Google","Android"
"CVE-2017-0496","Operating System","Google","Android"
"CVE-2017-0497","Operating System","Google","Android"
"CVE-2017-0498","Operating System","Google","Android"
"CVE-2017-0499","Operating System","Google","Android"
"CVE-2017-0500","Operating System","Google","Android"
"CVE-2017-0501","Operating System","Google","Android"
"CVE-2017-0502","Operating System","Google","Android"
"CVE-2017-0503","Operating System","Google","Android"
"CVE-2017-0504","Operating System","Google","Android"
"CVE-2017-0505","Operating System","Google","Android"
"CVE-2017-0506","Operating System","Google","Android"
"CVE-2017-0507","Operating System","Linux","Linux_kernel"
"CVE-2017-0508","Operating System","Linux","Linux_kernel"
"CVE-2017-0509","Operating System","Google","Android"
"CVE-2017-0510","Operating System","Linux","Linux_kernel"
"CVE-2017-0516","Operating System","Linux","Linux_kernel"
"CVE-2017-0517","Operating System","Google","Android"
"CVE-2017-0518","Operating System","Linux","Linux_kernel"
"CVE-2017-0519","Operating System","Linux","Linux_kernel"
"CVE-2017-0520","Operating System","Linux","Linux_kernel"
"CVE-2017-0521","Operating System","Linux","Linux_kernel"
"CVE-2017-0522","Operating System","Google","Android"
"CVE-2017-0523","Operating System","Google","Android"
"CVE-2017-0524","Operating System","Linux","Linux_kernel"
"CVE-2017-0525","Operating System","Linux","Linux_kernel"
"CVE-2017-0526","Operating System","Linux","Linux_kernel"
"CVE-2017-0527","Operating System","Linux","Linux_kernel"
"CVE-2017-0528","Operating System","Linux","Linux_kernel"
"CVE-2017-0529","Operating System","Google","Android"
"CVE-2017-0531","Operating System","Linux","Linux_kernel"
"CVE-2017-0532","Operating System","Google","Android"
"CVE-2017-0533","Operating System","Linux","Linux_kernel"
"CVE-2017-0534","Operating System","Linux","Linux_kernel"
"CVE-2017-0535","Operating System","Linux","Linux_kernel"
"CVE-2017-0536","Operating System","Linux","Linux_kernel"
"CVE-2017-0537","Operating System","Linux","Linux_kernel"
"CVE-2017-0538","Operating System","Google","Android"
"CVE-2017-0539","Operating System","Google","Android"
"CVE-2017-0540","Operating System","Google","Android"
"CVE-2017-0541","Operating System","Google","Android"
"CVE-2017-0542","Operating System","Google","Android"
"CVE-2017-0543","Operating System","Google","Android"
"CVE-2017-0544","Operating System","Google","Android"
"CVE-2017-0545","Operating System","Google","Android"
"CVE-2017-0546","Operating System","Google","Android"
"CVE-2017-0547","Operating System","Google","Android"
"CVE-2017-0548","Operating System","Google","Android"
"CVE-2017-0549","Operating System","Google","Android"
"CVE-2017-0550","Operating System","Google","Android"
"CVE-2017-0551","Operating System","Google","Android"
"CVE-2017-0552","Operating System","Google","Android"
"CVE-2017-0553","Operating System","Google","Android"
"CVE-2017-0554","Operating System","Google","Android"
"CVE-2017-0555","Operating System","Google","Android"
"CVE-2017-0556","Operating System","Google","Android"
"CVE-2017-0557","Operating System","Google","Android"
"CVE-2017-0558","Operating System","Google","Android"
"CVE-2017-0559","Operating System","Google","Android"
"CVE-2017-0560","Operating System","Google","Android"
"CVE-2017-0561","Operating System","Linux","Linux_kernel"
"CVE-2017-0562","Operating System","Google","Android"
"CVE-2017-0563","Operating System","Linux","Linux_kernel"
"CVE-2017-0564","Operating System","Linux","Linux_kernel"
"CVE-2017-0565","Operating System","Google","Android"
"CVE-2017-0566","Operating System","Google","Android"
"CVE-2017-0567","Operating System","Linux","Linux_kernel"
"CVE-2017-0568","Operating System","Linux","Linux_kernel"
"CVE-2017-0569","Operating System","Linux","Linux_kernel"
"CVE-2017-0570","Operating System","Linux","Linux_kernel"
"CVE-2017-0571","Operating System","Linux","Linux_kernel"
"CVE-2017-0572","Operating System","Linux","Linux_kernel"
"CVE-2017-0573","Operating System","Linux","Linux_kernel"
"CVE-2017-0574","Operating System","Linux","Linux_kernel"
"CVE-2017-0575","Operating System","Linux","Linux_kernel"
"CVE-2017-0576","Operating System","Linux","Linux_kernel"
